,Source,Target,weight,total_retweets,reliable
1,_bankista,www.therichest.com,1,1,1
2,_CarolynYates,www.theguardian.com,1,0,1
3,_GroundReality,www.forbes.com,1,4,1
4,_k3l50,www.breitbart.com,1,0,0
5,_StormRaven_,www.quantamagazine.org,1,0,1
6,_valeriodangelo,www.ted.com,2,0,1
7,13CGunReviews,www.instagram.com,2,0,1
8,1tweetybugg,www.nature.com,2,0,1
9,2CynicAl65,web.archive.org,1,3,1
10,360Eventz,business.financialpost.com,2,0,1
11,66blaise,www.economist.com,1,0,1
12,706am,www.quantamagazine.org,1,0,1
13,7billiontoday,sevenbilliontoday.com,1,0,1
14,a_mastrogiacomo,www.quantamagazine.org,1,0,1
15,A4Ny14,www.ucsusa.org,2,0,1
16,AadhaarLaw,disastrousearth.wordpress.com,1,2,1
17,AadhaarScrap,disastrousearth.wordpress.com,1,2,1
18,AAlasti,www.snopes.com,2,0,1
19,AavishkaarVC,www.weforum.org,2,0,1
20,AbelGustafson,climatecommunication.yale.edu,2,1,1
21,ABURYCollection,www.theguardian.com,2,0,1
22,ABusinessWitch,apple.news,1,0,1
23,accouder,wap.business-standard.com,1,0,1
24,ActifyPress,www.actifypress.com,2,4,1
25,ActionCountdown,www.apnews.com,2,0,1
26,AdamRogers2030,www.weforum.org,2,16,1
27,adapt2030,www.youtube.com,2,6,1
28,ADB_HQ,www.weforum.org,2,0,1
29,Aditi_bjplover,www.business-standard.com,2,0,1
30,AESSnews,www.usatoday.com,1,0,1
31,AFreespeechzone,www.breitbart.com,2,0,0
32,ahluv2,agendas.how,1,1,1
33,AhmedKaram_t,www.youtube.com,2,0,1
34,AimeeFuller,humansarefree.com,2,2,0
35,akiyamamio2007,www.instagram.com,2,0,1
36,AKoach,climatism.blog,1,0,1
37,alanwplace,www.alsdominion.co.uk,1,0,1
38,AlexanderXV,www.bbc.com,1,0,1
39,AlexanderXV,www.independent.co.uk,1,0,1
40,AlexBStamp,www.theguardian.com,1,0,1
41,AlexIp718,www.cnn.com,1,1,1
42,AlexNewsZA,alexnews.co.za,1,0,1
43,alfred849,inews.co.uk,1,0,1
44,AlisaApps,alisaapps.com,1,46,1
45,alisterdoyle,www.reuters.com,1,4,1
46,Allcot_news,allcot.com,2,2,1
47,ALLREDToDoRoJo,www.economist.com,1,0,1
48,ALLREDToDoRoJo,www.usatoday.com,1,0,1
49,amadorn,www.americanthinker.com,1,0,0
50,amadorn,www.zerohedge.com,2,0,0
51,AmissPaul,www.independent.co.uk,1,1,1
52,amoghahl,amp.skymetweather.com,1,2,1
53,amoghahl,www.ndtv.com,1,0,1
54,amoghahl,www.news18.com,1,0,1
55,amruthasuri,theconversation.com,2,0,1
56,amruthasuri,weather.com,2,0,1
57,amruthasuri,www.abc.net.au,1,1,1
58,amruthasuri,www.carbonbrief.org,1,1,1
59,amruthasuri,www.economist.com,1,0,1
60,amruthasuri,www.gamespot.com,2,0,1
61,amruthasuri,www.joboneforhumanity.org,4,0,1
62,amruthasuri,www.ndtv.com,1,0,1
63,amruthasuri,www.nytimes.com,2,2,1
64,amruthasuri,www.scientificamerican.com,1,0,1
65,amruthasuri,www.theguardian.com,1,0,1
66,amruthasuri,www.washingtonexaminer.com,1,0,0
67,amygatenbyy,www.amygatenby.co.uk,2,1,1
68,anamoly_london,www.instagram.com,1,0,1
69,AnandBalak,www.facebook.com,1,0,1
70,AncientAmbiance,www.glamourmagazine.co.uk,1,2,1
71,AndreaMcGimsey,apple.news,1,0,1
72,AndrewHigsdrew,www.armstrongeconomics.com,1,0,1
73,AndyG032,www.zerohedge.com,2,0,0
74,angelay33,morningconsult.com,1,0,1
75,AnjaKolibri,cleantechnica.com,2,6,1
76,AOTH_RMills,www.reuters.com,1,1,1
77,AP19951230,www.nrdc.org,2,0,1
78,arbnco,www.ukgbc.org,1,0,1
79,ArchKennedy,dailycaller.com,1,141,0
80,AriDavidUSA,www.breitbart.com,1,3,0
81,AridZonAfforest,particle.scitech.org.au,2,0,1
82,aroyal4oz,www.nytimes.com,1,0,1
83,ArrestAnon,www.breitbart.com,2,0,0
84,ARTIBA_Insights,www.brookings.edu,2,2,1
85,AsherCJr,www.facebook.com,1,0,1
86,ashishrbedekar,earthsky.org,2,0,1
87,ashishrbedekar,inhabitat.com,2,2,1
88,ashishrbedekar,insideclimatenews.org,2,0,1
89,ashishrbedekar,thehill.com,2,0,1
90,ashishrbedekar,thinkprogress.org,2,0,0
91,ashishrbedekar,weather.com,2,2,1
92,ashishrbedekar,www.breitbart.com,3,2,0
93,ashishrbedekar,www.cbc.ca,2,2,1
94,ashishrbedekar,www.joboneforhumanity.org,1,0,1
95,ashishrbedekar,www.nbcnews.com,2,0,1
96,ashishrbedekar,www.newsweek.com,1,0,1
97,ashishrbedekar,www.scientificamerican.com,1,0,1
98,AshRi373,www.usatoday.com,1,0,1
99,astroengine,www.quantamagazine.org,1,1,1
100,ASYNSIS,www.quantamagazine.org,1,0,1
101,AtlasFuture,atlasofthefuture.org,3,1,1
102,atulabhas,www.fairobserver.com,4,0,1
103,AurorasaCoach,www.quantamagazine.org,1,0,1
104,AussieAce_,www.reuters.com,1,0,1
105,BA_Chaudhry,www.quantamagazine.org,1,2,1
106,babynetman,www.zerohedge.com,2,0,0
107,BaggaBrigade,www.americanthinker.com,1,1,0
108,Based_Right,principia-scientific.org,1,1,1
109,BassettGreener,www.independent.co.uk,2,0,1
110,batrsartre,batrnews.blogspot.com,1,0,1
111,beach805_chris,www.youtube.com,2,0,1
112,beachydreamer,haaretz.com,2,0,1
113,beachydreamer,www.haaretz.com,2,0,1
114,benmetz,www.snopes.com,2,10,1
115,BenstksC,realclimatescience.com,1,0,1
116,best_essay_com,best-custom-essays.com,1,0,1
117,Best_Schools,thebestschools.org,2,0,1
118,BestGreenEdu,www.macoma.us,1,0,1
119,BigPete23,www.quantamagazine.org,1,0,1
120,BigShineEnergy,www.laboratoryequipment.com,2,0,1
121,BigShineEnergy,www.nbcnews.com,2,2,1
122,BirdsRachel,www.instagram.com,2,0,1
123,blondefrog123,www.thegatewaypundit.com,2,0,0
124,bobhillbrain,insideclimatenews.org,1,0,1
125,bobhillbrain,rpujolviven.blogspot.com,10,1,1
126,bobhillbrain,sc.mp,1,0,1
127,bobhillbrain,wapo.st,1,0,1
128,bobhillbrain,www.carbonbrief.org,1,1,1
129,bobhillbrain,www.irishtimes.com,1,0,1
130,bobhillbrain,www.rollingstone.com,2,0,1
131,bobhillbrain,www.theguardian.com,3,0,1
132,BoredAlchemist,www.quantamagazine.org,1,0,1
133,brainbarcom,www.youtube.com,1,2,1
134,BrasilGreenBldg,www.rateitgreen.com,1,1,1
135,BreathingDelhi,www.carbonbrief.org,1,0,1
136,BreathingDelhi,www.reuters.com,1,0,1
137,Brian_Sussman,www.youtube.com,2,2,1
138,BronsonLSmith,www.youtube.com,1,0,1
139,BryanCalling,www.bryanhaugerconsulting.com,1,0,1
140,bryanth65103667,www.washingtonpost.com,1,0,1
141,bsindia,www.business-standard.com,2,8,1
142,cadegorawrz,www.instagram.com,1,0,1
143,CAGreenbuilding,www.rateitgreen.com,2,0,1
144,CaitlinCumberl1,www.independent.co.uk,1,0,1
145,CaplanComms,thehill.com,1,0,1
146,CarbonBubble,www.reuters.com,1,12,1
147,CarlSiegrist,www.reuters.com,1,0,1
148,carrzee,www.bloomberg.com,1,0,1
149,CatchupNewsOrg,www.catchupnews.org,2,0,1
150,CAugustenborg,edition.cnn.com,1,1,1
151,cbsolarshading,cbsolarshading.co.uk,2,2,1
152,CCellUK,www.theguardian.com,2,0,1
153,CCL_Nebraska,www.crowdsourcingsustainability.org,1,0,1
154,CCLSlipperyRock,citizensclimatelobby.org,2,4,1
155,CCLSlipperyRock,thinkprogress.org,1,0,0
156,CCLSlipperyRock,www.axios.com,1,1,1
157,CCLSlipperyRock,www.nytimes.com,1,0,1
158,CCLSlipperyRock,www.post-gazette.com,2,0,1
159,CCLSlipperyRock,www.thenation.com,1,0,1
160,CCS_CO2e,globalnews.ca,2,1,1
161,CCS_CO2e,www.digitaljournal.com,1,0,1
162,CCS_CO2e,www.nationalgeographic.com,1,0,1
163,chairmannetwork,n06,2,0,1
164,ChanceArtInc,www.theguardian.com,2,0,1
165,ChandraTVTN,www.ichowk.in,2,0,1
166,charles_consult,www.reuters.com,1,0,1
167,ChildrenOfDoom2,www.sciencedaily.com,2,0,1
168,ChloeConno,www.thenationalstudent.com,2,2,1
169,ChristiAnne67,www.reuters.com,1,6,1
170,CianSalleh,www.surveymonkey.com,2,0,1
171,cjharrispretzer,www.breitbart.com,1,0,0
172,cjianos,apple.news,1,1,1
173,cjianos,www.usatoday.com,2,0,1
174,CJPIsrael,www.haaretz.com,2,0,1
175,ClackamasDems,et.al,2,2,1
176,ClackamasDems,today.oregonstate.edu,2,2,1
177,ClaudiaDuke,www.nrdc.org,1,10,1
178,cleanairfrank,www.dailymail.co.uk,2,0,1
179,cleanenergycan,thehill.com,1,3,1
180,CleanWisconsin,www.jsonline.com,1,0,1
181,CleanWisconsin,www.ucsusa.org,2,4,1
182,CleanWisconsin,www.usatoday.com,1,0,1
183,CLEOInstitute,www.reuters.com,1,0,1
184,Climageddon,www.joboneforhumanity.org,25,4,1
185,Climatebriefing,www.independent.co.uk,2,0,1
186,ClimateChangea,tropical.colostate.edu,2,0,1
187,ClimateChangea,www.facebook.com,4,0,1
188,ClimateChangea,www.youtube.com,2,0,1
189,ClimateComms,www.cnn.com,1,3,1
190,climatefactaday,www.ipcc.ch,1,1,1
191,ClimateNexus,www.usatoday.com,1,3,1
192,ClimaticMatters,www.ajc.com,2,2,1
193,cliveldunn,www.zerohedge.com,2,0,0
194,CloverChron,cloverchronicle.com,1,2,1
195,CluelessTees,www.cluelesstees.com,1,1,1
196,CluelessTees,www.etsy.com,2,4,1
197,COGreenbuilding,www.rateitgreen.com,2,0,1
198,CombatGlobal,www.reuters.com,1,3,1
199,commoncurator,www.theguardian.com,1,0,1
200,CompanionCosmic,bit.ly,1,1,1
201,Computertechnw,rare.us,1,0,1
202,CongHuelskamp,www.heartland.org,3,6,0
203,CongressOrBJP,disastrousearth.wordpress.com,1,2,1
204,ContiTonight,www.timeanddate.com,2,2,1
205,CounterCalexit,www.breitbart.com,2,0,0
206,cphomeloansaz,cleantechnica.com,1,0,1
207,Cpr_Am,www.cpr-am.fr,2,20,1
208,CrescentVale,www.youtube.com,2,0,1
209,cristiandinacom,www.redbubble.com,2,0,1
210,CrwdsrcingSusty,www.crowdsourcingsustainability.org,3,0,1
211,CTgreenbuilding,www.rateitgreen.com,2,0,1
212,CTPatriot2006,www.huffpost.com,2,4,1
213,CushnocRA,www.economist.com,1,1,1
214,CwHumanEcology,www.theguardian.com,1,0,1
215,damyantig,www.theguardian.com,1,0,1
216,DanaDredard,www.reuters.com,1,0,1
217,DanGraur,judgestarling.tumblr.com,4,2,1
218,danielavalla1,www.theguardian.com,1,0,1
219,dannyeatsnosh,www.independent.co.uk,1,0,1
220,David_J_Ward,www.telegraph.co.uk,2,0,1
221,DavidJarratt1,www.reuters.com,1,1,1
222,davidstoreytv,www.usatoday.com,1,0,1
223,davisdavislaw,www.freddavislaw.com,2,0,1
224,DavisMorgan88,edition.cnn.com,1,0,1
225,dbcurren,www.quantamagazine.org,1,0,1
226,dcarollo_edu,www.linkedin.com,1,0,1
227,DCNY18,climate.nasa.gov,2,0,1
228,Debbie_Travel,www.theguardian.com,1,0,1
229,DenitzaToteva,www.theguardian.com,2,2,1
230,derekdob,www.thegatewaypundit.com,2,0,0
231,derekdob,www.zerohedge.com,2,0,0
232,derrickgakuu,climatecommunication.yale.edu,2,0,1
233,desota,cleantechnica.com,1,1,1
234,dfmmover,medium.com,1,0,1
235,dfmmover,thinkprogress.org,1,0,0
236,DGGeothermal,brilliantmaps.com,1,0,1
237,DianeShears,www.armstrongeconomics.com,2,0,1
238,digitaldeath,www.washingtonpost.com,1,1,1
239,digitalgypsie,apple.news,1,0,1
240,digitaljournal,www.digitaljournal.com,3,0,1
241,DiscoverBattery,www.independent.co.uk,2,1,1
242,DissolvedAngel,www.youtube.com,1,0,1
243,DKump11,www.google.com,1,1,1
244,dlbessette,www.reuters.com,1,0,1
245,dmiddleton03,m.youtube.com,1,0,1
246,Doc_MRock,www.independent.co.uk,1,0,1
247,DoctoraVillegas,www.theguardian.com,1,0,1
248,dog8thewallet,globalnews.ca,2,0,1
249,dog8thewallet,www.express.co.uk,2,0,0
250,dog8thewallet,www.thestar.com,1,1,1
251,DonCarlitos,www.independent.co.uk,1,0,1
252,DonCarlitos,www.reddit.com,1,0,1
253,down2earthindia,www.downtoearth.org.in,1,3,1
254,DprkKorea,climatism.blog,1,0,1
255,DQQ702,www.instagram.com,1,0,1
256,Dr_Blaine,www.quantamagazine.org,1,0,1
257,DreadnoughtQCCA,www.washingtonexaminer.com,1,0,0
258,DrGaspar,www.reuters.com,1,0,1
259,DrGeorgeBurdell,www.forbes.com,1,0,1
260,DrGeorgeBurdell,www.washingtonexaminer.com,1,0,0
261,drjriggs,www-m.cnn.com,1,0,1
262,drjriggs,www.technologyreview.com,1,0,1
263,DrPresage,www.technologyreview.com,1,1,1
264,DruCrawley,www.forbes.com,1,0,1
265,dyinglowkey,www.youtube.com,2,0,1
266,EarthAccounting,thinkprogress.org,1,1,0
267,EarthAccounting,www.earth.com,4,4,1
268,EarthAccounting,www.nationalgeographic.com,1,2,1
269,EarthAccounting,www.quantamagazine.org,1,1,1
270,EarthAccounting,www.usatoday.com,1,0,1
271,EarthConscious_,www.theguardian.com,1,1,1
