Id,Label,timeset,node,node_type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Treshold_01
__kayxtay,__kayxtay,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
www.cnn.com,www.cnn.com,,Target,Web_Domain,145,0,145,242,0,242,0,0,0,0,1
_andgood,_andgood,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
www.theguardian.com,www.theguardian.com,,Target,Web_Domain,865,0,865,1761,0,1761,0,0,0,0,1
_AndreaAngulo_,_AndreaAngulo_,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
www.treehugger.com,www.treehugger.com,,Target,Web_Domain,22,0,22,45,0,45,0,0,0,0,0
_bankista,_bankista,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
mashable.com,mashable.com,,Target,Web_Domain,10,0,10,22,0,22,0,0,0,0,0
_C_Dixon,_C_Dixon,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
_Chris_W_Jones_,_Chris_W_Jones_,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
www.fastcompany.com,www.fastcompany.com,,Target,Web_Domain,46,0,46,78,0,78,0,0,0,0,1
_el_pablo_,_el_pablo_,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
_erica_lewis,_erica_lewis,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
www.change.org,www.change.org,,Target,Web_Domain,38,0,38,45,0,45,0,0,0,0,1
_HeSea,_HeSea,,Source,Twitter,0,1,1,0,46,46,1,1,1,0,0
www.tinyurl.com,www.tinyurl.com,,Target,Web_Domain,7,0,7,54,0,54,0,0,0,0,0
_IMPEACH_TRUMP_,_IMPEACH_TRUMP_,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
apple.news,apple.news,,Target,Web_Domain,67,0,67,108,0,108,0,0,0,0,1
_itsconstanceee,_itsconstanceee,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
