Id,Label,timeset,node,node_type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,clustering
_bankista,_bankista,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0,0
www.therichest.com,www.therichest.com,,Target,Web_Domain,1,0,1,1,0,1,0,0,0,0,0,0
_CarolynYates,_CarolynYates,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,1,0
www.theguardian.com,www.theguardian.com,,Target,Web_Domain,33,0,33,57,0,57,0,0,0,0,1,0
_GroundReality,_GroundReality,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,1,0
www.forbes.com,www.forbes.com,,Target,Web_Domain,9,0,9,12,0,12,0,0,0,0,1,0
_k3l50,_k3l50,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,1,0
www.breitbart.com,www.breitbart.com,,Target,Web_Domain,35,0,35,45,0,45,0,0,0,0,1,0
_StormRaven_,_StormRaven_,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,1,0
www.quantamagazine.org,www.quantamagazine.org,,Target,Web_Domain,25,0,25,26,0,26,0,0,0,0,1,0
_valeriodangelo,_valeriodangelo,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,2,0
www.ted.com,www.ted.com,,Target,Web_Domain,3,0,3,5,0,5,0,0,0,0,2,0
13CGunReviews,13CGunReviews,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,3,0
www.instagram.com,www.instagram.com,,Target,Web_Domain,17,0,17,23,0,23,0,0,0,0,3,0
1tweetybugg,1tweetybugg,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,4,0
www.nature.com,www.nature.com,,Target,Web_Domain,3,0,3,6,0,6,0,0,0,0,4,0
2CynicAl65,2CynicAl65,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,5,0
web.archive.org,web.archive.org,,Target,Web_Domain,1,0,1,1,0,1,0,0,0,0,5,0
360Eventz,360Eventz,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,6,0
business.financialpost.com,business.financialpost.com,,Target,Web_Domain,1,0,1,2,0,2,0,0,0,0,6,0
